Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -4.99000      2.59635      0.87579      1.72056
     -4.98000      1.61067      0.55042      1.06025
     -4.97000      1.86687      0.62954      1.23734
     -4.96000      2.36656      0.77966      1.58690
     -4.95000      1.74008      0.57215      1.16793
     -4.94000      1.03875      0.33848      0.70027
     -4.93000      1.07896      0.34908      0.72987
     -4.92000      1.09575      0.34967      0.74608
     -4.91000      1.19599      0.35785      0.83815
     -4.90000      1.30059      0.38035      0.92024
     -4.89000      1.20529      0.35563      0.84965
     -4.88000      1.38937      0.40036      0.98901
     -4.87000      1.54060      0.43469      1.10592
     -4.86000      1.90079      0.56120      1.33959
     -4.85000      3.00879      0.96164      2.04715
     -4.84000      3.74543      1.24379      2.50165
     -4.83000      3.66769      1.17860      2.48909
     -4.82000      3.55846      1.06107      2.49739
     -4.81000      3.18489      0.89761      2.28728
     -4.80000      1.67644      0.46021      1.21622
     -4.79000      0.44241      0.11931      0.32310
     -4.78000      0.33172      0.08608      0.24564
     -4.77000      0.68970      0.18040      0.50931
     -4.76000      0.96143      0.25957      0.70187
     -4.75000      1.23658      0.34288      0.89371
     -4.74000      1.36940      0.38763      0.98177
     -4.73000      1.36442      0.40886      0.95556
     -4.72000      1.58081      0.50436      1.07646
     -4.71000      1.86504      0.60425      1.26079
     -4.70000      1.43356      0.45834      0.97522
     -4.69000      1.04678      0.30731      0.73947
     -4.68000      1.19348      0.33126      0.86221
     -4.67000      1.04542      0.29086      0.75455
     -4.66000      0.80293      0.22584      0.57709
     -4.65000      0.71553      0.20487      0.51066
     -4.64000      0.94758      0.27174      0.67584
     -4.63000      1.23151      0.35155      0.87996
     -4.62000      1.15431      0.33845      0.81587
     -4.61000      0.86503      0.26878      0.59626
     -4.60000      0.81931      0.26577      0.55354
     -4.59000      0.96164      0.31344      0.64820
     -4.58000      1.27889      0.41473      0.86416
     -4.57000      1.69009      0.55578      1.13431
     -4.56000      1.98432      0.66269      1.32163
     -4.55000      1.46583      0.49151      0.97432
     -4.54000      0.79456      0.24704      0.54753
     -4.53000      0.61357      0.16904      0.44453
     -4.52000      0.34429      0.09315      0.25114
     -4.51000      0.24739      0.07300      0.17439
     -4.50000      0.65759      0.19751      0.46008
     -4.49000      1.01348      0.29754      0.71595
     -4.48000      0.68888      0.19734      0.49155
     -4.47000      0.20929      0.05897      0.15031
     -4.46000      0.13950      0.04106      0.09844
     -4.45000      0.55634      0.16878      0.38755
     -4.44000      1.09428      0.33832      0.75596
     -4.43000      1.07031      0.32834      0.74197
     -4.42000      0.85837      0.25087      0.60750
     -4.41000      0.88549      0.26904      0.61644
     -4.40000      1.15807      0.37406      0.78401
     -4.39000      0.89296      0.29156      0.60139
     -4.38000      0.29552      0.09566      0.19985
     -4.37000      0.23061      0.06913      0.16148
     -4.36000      0.65109      0.19406      0.45702
     -4.35000      0.78931      0.23687      0.55244
     -4.34000      0.36755      0.11108      0.25647
     -4.33000      0.19542      0.06003      0.13540
     -4.32000      0.65283      0.20087      0.45196
     -4.31000      1.22709      0.37418      0.85291
     -4.30000      1.13790      0.33805      0.79986
     -4.29000      0.81086      0.23708      0.57378
     -4.28000      0.66626      0.20956      0.45670
     -4.27000      0.60187      0.20059      0.40128
     -4.26000      0.40684      0.13801      0.26883
     -4.25000      0.58084      0.19684      0.38400
     -4.24000      1.09183      0.35990      0.73193
     -4.23000      1.32671      0.42948      0.89723
     -4.22000      0.87924      0.28536      0.59388
     -4.21000      0.48326      0.15495      0.32831
     -4.20000      0.56450      0.17711      0.38738
     -4.19000      0.44202      0.13779      0.30423
     -4.18000      0.33888      0.10171      0.23717
     -4.17000      0.70838      0.20722      0.50116
     -4.16000      0.97729      0.28364      0.69365
     -4.15000      0.67397      0.19691      0.47706
     -4.14000      0.47991      0.16215      0.31776
     -4.13000      1.09487      0.40276      0.69211
     -4.12000      1.98864      0.72690      1.26174
     -4.11000      2.82241      1.00316      1.81926
     -4.10000      3.77940      1.31464      2.46476
     -4.09000      3.71306      1.28722      2.42583
     -4.08000      2.96689      1.03020      1.93669
     -4.07000      2.58432      0.89917      1.68514
     -4.06000      2.51357      0.86036      1.65321
     -4.05000      3.42290      1.12565      2.29725
     -4.04000      4.75477      1.54497      3.20980
     -4.03000      4.31543      1.40587      2.90956
     -4.02000      3.67867      1.18135      2.49732
     -4.01000      4.00848      1.26319      2.74529
     -4.00000      3.64807      1.14842      2.49965
     -3.99000      3.26657      1.01994      2.24663
     -3.98000      4.30156      1.29670      3.00486
     -3.97000      5.35064      1.59311      3.75753
     -3.96000      5.26560      1.55289      3.71272
     -3.95000      5.47551      1.57656      3.89895
     -3.94000      6.44640      1.83161      4.61479
     -3.93000      7.59184      2.18012      5.41172
     -3.92000      7.23673      2.08886      5.14787
     -3.91000      5.81909      1.66833      4.15076
     -3.90000      5.42362      1.56343      3.86019
     -3.89000      6.58828      1.93300      4.65528
     -3.88000      7.55302      2.24080      5.31222
     -3.87000      7.39374      2.23922      5.15452
     -3.86000      6.91815      2.11428      4.80388
     -3.85000      5.63401      1.70098      3.93303
     -3.84000      4.43212      1.32925      3.10287
     -3.83000      4.30915      1.27911      3.03004
     -3.82000      4.49339      1.30803      3.18536
     -3.81000      4.01222      1.17996      2.83226
     -3.80000      3.60171      1.09557      2.50614
     -3.79000      3.79958      1.17530      2.62428
     -3.78000      3.78990      1.14059      2.64931
     -3.77000      2.65305      0.79046      1.86259
     -3.76000      1.95084      0.59509      1.35575
     -3.75000      2.80965      0.80012      2.00953
     -3.74000      3.60759      1.01541      2.59219
     -3.73000      2.79263      0.81058      1.98205
     -3.72000      2.04502      0.60192      1.44310
     -3.71000      2.36687      0.71018      1.65668
     -3.70000      3.20273      0.96803      2.23469
     -3.69000      3.82949      1.11791      2.71157
     -3.68000      2.76050      0.73953      2.02097
     -3.67000      1.28482      0.33383      0.95099
     -3.66000      0.70700      0.26554      0.44146
     -3.65000      0.60074      0.27624      0.32450
     -3.64000      0.62582      0.28528      0.34053
     -3.63000      1.54397      0.65033      0.89364
     -3.62000      2.75557      1.07464      1.68093
     -3.61000      2.47975      0.90804      1.57171
     -3.60000      1.15039      0.39319      0.75719
     -3.59000      0.53752      0.15436      0.38316
     -3.58000      0.59583      0.17254      0.42329
     -3.57000      0.74007      0.23525      0.50481
     -3.56000      0.78878      0.27227      0.51651
     -3.55000      0.99216      0.36021      0.63196
     -3.54000      1.72368      0.62192      1.10176
     -3.53000      2.48742      0.83638      1.65104
     -3.52000      1.91679      0.60348      1.31330
     -3.51000      0.92919      0.33782      0.59137
     -3.50000      0.78757      0.38107      0.40650
     -3.49000      0.68857      0.34761      0.34097
     -3.48000      0.28488      0.14201      0.14287
     -3.47000      0.14598      0.05664      0.08934
     -3.46000      0.48168      0.17483      0.30686
