Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.28579      3.40108      1.20546      2.19563
     -5.27579      3.69501      1.29309      2.40193
     -5.26579      4.16187      1.45548      2.70639
     -5.25579      4.00177      1.41323      2.58854
     -5.24579      4.16325      1.47927      2.68398
     -5.23579      5.79049      2.04101      3.74948
     -5.22579      7.06619      2.47906      4.58713
     -5.21579      6.49327      2.28911      4.20416
     -5.20579      5.35394      1.88888      3.46506
     -5.19579      4.75036      1.64577      3.10459
     -5.18579      4.49602      1.53639      2.95963
     -5.17579      4.37919      1.48816      2.89104
     -5.16579      4.22498      1.42472      2.80026
     -5.15579      4.24605      1.41442      2.83164
     -5.14579      4.15411      1.33936      2.81475
     -5.13579      3.23252      0.97128      2.26124
     -5.12579      2.11721      0.58672      1.53049
     -5.11579      1.62376      0.43391      1.18985
     -5.10579      1.81105      0.49728      1.31377
     -5.09579      2.21979      0.63876      1.58103
     -5.08579      2.37617      0.72577      1.65040
     -5.07579      2.64604      0.85638      1.78966
     -5.06579      2.88409      0.95268      1.93141
     -5.05579      2.32582      0.74540      1.58042
     -5.04579      1.42065      0.42218      0.99848
     -5.03579      0.92516      0.26180      0.66337
     -5.02579      0.94330      0.26837      0.67493
     -5.01579      1.15268      0.32783      0.82485
     -5.00579      1.34023      0.38904      0.95119
     -4.99579      1.26124      0.37727      0.88396
     -4.98579      1.22903      0.37951      0.84952
     -4.97579      1.51197      0.47328      1.03869
     -4.96579      1.76638      0.54371      1.22266
     -4.95579      1.40617      0.42135      0.98482
     -4.94579      0.84971      0.25321      0.59649
     -4.93579      0.75074      0.22651      0.52423
     -4.92579      1.11591      0.33255      0.78335
     -4.91579      1.33913      0.40201      0.93712
     -4.90579      1.16885      0.35823      0.81062
     -4.89579      1.15124      0.35534      0.79590
     -4.88579      1.24359      0.39145      0.85215
     -4.87579      1.43390      0.47075      0.96315
     -4.86579      1.68037      0.55526      1.12511
     -4.85579      1.24658      0.40216      0.84442
     -4.84579      0.64749      0.19608      0.45140
     -4.83579      0.53492      0.15686      0.37807
     -4.82579      0.73672      0.21997      0.51675
     -4.81579      1.03719      0.30716      0.73003
     -4.80579      0.96011      0.28061      0.67950
     -4.79579      0.55865      0.16689      0.39176
     -4.78579      0.50413      0.16217      0.34196
     -4.77579      0.85897      0.27353      0.58544
     -4.76579      0.93443      0.29502      0.63941
     -4.75579      0.80230      0.26066      0.54164
     -4.74579      0.88003      0.28017      0.59986
     -4.73579      0.94963      0.28667      0.66296
     -4.72579      0.89261      0.25944      0.63317
     -4.71579      0.71790      0.21461      0.50329
     -4.70579      0.47321      0.14964      0.32357
     -4.69579      0.48953      0.15462      0.33491
     -4.68579      0.78993      0.24667      0.54326
     -4.67579      0.90322      0.28408      0.61914
     -4.66579      0.88714      0.28851      0.59863
     -4.65579      0.88767      0.29656      0.59110
     -4.64579      1.13353      0.37240      0.76113
     -4.63579      1.23806      0.38901      0.84904
     -4.62579      0.83556      0.24917      0.58638
     -4.61579      0.39504      0.11640      0.27863
     -4.60579      0.47049      0.14767      0.32282
     -4.59579      0.68268      0.21595      0.46672
     -4.58579      0.58176      0.17782      0.40393
     -4.57579      0.40658      0.11865      0.28793
     -4.56579      0.33093      0.10009      0.23084
     -4.55579      0.47811      0.15219      0.32592
     -4.54579      0.77873      0.24833      0.53040
     -4.53579      1.13569      0.35102      0.78467
     -4.52579      1.16683      0.35560      0.81123
     -4.51579      0.82288      0.25802      0.56486
     -4.50579      0.39159      0.12650      0.26509
     -4.49579      0.17533      0.05534      0.11999
     -4.48579      0.41009      0.12524      0.28485
     -4.47579      0.75903      0.23323      0.52580
     -4.46579      0.55689      0.17271      0.38418
     -4.45579      0.27053      0.08665      0.18388
     -4.44579      0.50119      0.16376      0.33743
     -4.43579      0.92112      0.29337      0.62776
     -4.42579      1.25889      0.38750      0.87139
     -4.41579      1.32904      0.40943      0.91960
     -4.40579      0.97087      0.30576      0.66512
     -4.39579      0.55649      0.17809      0.37839
     -4.38579      0.27049      0.08582      0.18466
     -4.37579      0.39689      0.12046      0.27643
     -4.36579      0.64693      0.19462      0.45231
     -4.35579      0.62805      0.19011      0.43794
     -4.34579      0.68431      0.20765      0.47666
     -4.33579      0.90455      0.29003      0.61451
     -4.32579      1.90619      0.66601      1.24017
     -4.31579      3.93644      1.37095      2.56549
     -4.30579      5.38894      1.83815      3.55079
     -4.29579      5.55788      1.87522      3.68266
     -4.28579      5.62056      1.85883      3.76173
     -4.27579      6.48415      2.04268      4.44147
     -4.26579      7.66997      2.29967      5.37030
     -4.25579      8.23901      2.41144      5.82757
     -4.24579      7.72572      2.25551      5.47022
     -4.23579      6.73819      1.96835      4.76983
     -4.22579      6.42036      1.88306      4.53729
     -4.21579      6.33432      1.87902      4.45530
     -4.20579      6.41388      1.90681      4.50706
     -4.19579      7.64173      2.26255      5.37918
     -4.18579      8.63508      2.57066      6.06442
     -4.17579      7.66650      2.28151      5.38499
     -4.16579      6.36272      1.86143      4.50129
     -4.15579      6.08940      1.74156      4.34784
     -4.14579      6.17985      1.77866      4.40119
     -4.13579      5.79428      1.69298      4.10130
     -4.12579      5.10542      1.46814      3.63728
     -4.11579      4.62828      1.31293      3.31535
     -4.10579      4.02214      1.12803      2.89410
     -4.09579      3.56507      0.98800      2.57707
     -4.08579      3.59881      1.02648      2.57233
     -4.07579      4.08495      1.21095      2.87400
     -4.06579      4.28546      1.27584      3.00961
     -4.05579      3.69684      1.05450      2.64233
     -4.04579      3.03986      0.80419      2.23567
     -4.03579      2.85442      0.77086      2.08357
     -4.02579      2.65757      0.75809      1.89948
     -4.01579      2.45482      0.69797      1.75685
     -4.00579      2.70983      0.75945      1.95037
     -3.99579      2.41155      0.67321      1.73833
     -3.98579      1.48606      0.43698      1.04908
     -3.97579      1.09876      0.39958      0.69919
     -3.96579      1.26182      0.49585      0.76597
     -3.95579      1.60461      0.59626      1.00835
     -3.94579      1.92415      0.67768      1.24647
     -3.93579      1.92638      0.64088      1.28549
     -3.92579      1.58850      0.51357      1.07493
     -3.91579      1.12843      0.39009      0.73833
     -3.90579      0.96449      0.33622      0.62827
     -3.89579      1.13673      0.34216      0.79457
     -3.88579      1.28912      0.37931      0.90981
     -3.87579      1.41561      0.47452      0.94109
     -3.86579      1.29909      0.49840      0.80070
     -3.85579      0.90589      0.36819      0.53770
     -3.84579      0.92414      0.32367      0.60047
     -3.83579      1.48783      0.47156      1.01627
     -3.82579      1.72986      0.53327      1.19659
     -3.81579      1.52368      0.49026      1.03342
     -3.80579      1.15699      0.42687      0.73011
     -3.79579      0.71691      0.30629      0.41062
     -3.78579      0.60763      0.27922      0.32840
     -3.77579      1.01093      0.42643      0.58450
     -3.76579      1.58847      0.59160      0.99687
     -3.75579      1.58427      0.54355      1.04073
     -3.74579      1.31626      0.42174      0.89452
     -3.73579      1.29186      0.36651      0.92535
     -3.72579      1.01609      0.26026      0.75583
     -3.71579      0.84039      0.23542      0.60497
     -3.70579      1.45010      0.49205      0.95805
     -3.69579      2.07772      0.73178      1.34593
     -3.68579      1.42474      0.50901      0.91573
     -3.67579      0.66379      0.24837      0.41542
     -3.66579      0.97836      0.33326      0.64510
     -3.65579      2.09690      0.68147      1.41542
     -3.64579      2.98034      0.95062      2.02971
     -3.63579      3.28403      1.04077      2.24327
     -3.62579      3.51987      1.14899      2.37088
     -3.61579      3.46130      1.13176      2.32954
     -3.60579      3.00094      0.95089      2.05006
     -3.59579      3.19175      1.02208      2.16967
     -3.58579      4.33724      1.39348      2.94375
     -3.57579      4.66310      1.47353      3.18957
     -3.56579      3.77449      1.17370      2.60078
     -3.55579      3.22757      0.99487      2.23270
     -3.54579      3.63809      1.15087      2.48722
     -3.53579      3.94986      1.30244      2.64742
     -3.52579      3.90262      1.25778      2.64484
     -3.51579      4.56637      1.39020      3.17617
     -3.50579      5.14399      1.57672      3.56727
     -3.49579      5.29314      1.66284      3.63030
     -3.48579      5.72183      1.79158      3.93024
     -3.47579      6.09850      1.87848      4.22002
     -3.46579      6.95709      2.15826      4.79883
     -3.45579      7.29716      2.27976      5.01740
     -3.44579      5.83993      1.80606      4.03387
     -3.43579      4.81775      1.54995      3.26781
     -3.42579      4.67830      1.59800      3.08030
     -3.41579      4.42813      1.55158      2.87655
     -3.40579      4.59231      1.63686      2.95545
     -3.39579      5.12356      1.88621      3.23734
     -3.38579      5.11857      1.93635      3.18222
     -3.37579      4.84796      1.88356      2.96441
     -3.36579      4.18828      1.63587      2.55241
     -3.35579      3.70171      1.36494      2.33677
     -3.34579      3.94508      1.38877      2.55632
     -3.33579      4.16004      1.45505      2.70499
     -3.32579      3.44922      1.23490      2.21431
     -3.31579      2.58747      0.98200      1.60547
     -3.30579      2.44857      0.96215      1.48642
     -3.29579      2.54708      0.98779      1.55929
     -3.28579      2.52187      0.99501      1.52687
     -3.27579      2.42773      0.98482      1.44291
     -3.26579      2.12715      0.84358      1.28357
     -3.25579      1.74080      0.65945      1.08135
     -3.24579      1.73054      0.68329      1.04725
     -3.23579      2.16288      0.89580      1.26708
     -3.22579      2.52547      1.05702      1.46845
     -3.21579      2.42825      1.01960      1.40865
     -3.20579      2.03629      0.87850      1.15780
     -3.19579      1.94638      0.84424      1.10214
     -3.18579      1.81401      0.75109      1.06292
     -3.17579      1.40320      0.57051      0.83269
     -3.16579      1.50573      0.62715      0.87858
     -3.15579      1.89035      0.77320      1.11715
     -3.14579      1.72364      0.65535      1.06829
     -3.13579      1.65914      0.54441      1.11473
     -3.12579      1.86805      0.60427      1.26378
     -3.11579      1.82886      0.63140      1.19746
     -3.10579      2.02658      0.77746      1.24912
     -3.09579      2.57024      1.01425      1.55599
     -3.08579      2.40538      0.89777      1.50761
     -3.07579      1.72353      0.63767      1.08586
     -3.06579      1.55392      0.60775      0.94617
     -3.05579      1.49848      0.57978      0.91870
     -3.04579      1.27104      0.48470      0.78633
     -3.03579      1.29781      0.53170      0.76611
     -3.02579      1.50302      0.66019      0.84283
     -3.01579      1.75511      0.76682      0.98829
     -3.00579      1.75758      0.75434      1.00324
     -2.99579      1.22440      0.51367      0.71074
     -2.98579      1.03313      0.41529      0.61785
     -2.97579      1.64036      0.64678      0.99357
     -2.96579      2.11441      0.80375      1.31066
     -2.95579      1.89280      0.66877      1.22403
     -2.94579      1.44629      0.50852      0.93777
     -2.93579      1.29665      0.50655      0.79010
     -2.92579      1.27758      0.52074      0.75684
     -2.91579      1.19008      0.46781      0.72227
     -2.90579      1.04596      0.38672      0.65924
     -2.89579      1.20460      0.45683      0.74777
     -2.88579      1.59319      0.66772      0.92547
     -2.87579      1.94150      0.85447      1.08702
     -2.86579      2.00375      0.86516      1.13859
     -2.85579      1.61628      0.63385      0.98243
     -2.84579      1.13733      0.41229      0.72504
     -2.83579      0.69391      0.27604      0.41787
     -2.82579      0.63579      0.29161      0.34418
     -2.81579      1.01256      0.44583      0.56673
     -2.80579      1.18570      0.47665      0.70905
     -2.79579      1.30253      0.46932      0.83321
     -2.78579      1.69550      0.54055      1.15495
     -2.77579      2.01604      0.62977      1.38627
     -2.76579      1.89008      0.63722      1.25286
     -2.75579      1.64223      0.55657      1.08567
     -2.74579      1.64259      0.56289      1.07970
     -2.73579      1.81146      0.69164      1.11982
     -2.72579      2.03120      0.81568      1.21552
     -2.71579      2.02248      0.80986      1.21262
     -2.70579      1.43938      0.59108      0.84830
     -2.69579      1.20553      0.50502      0.70051
     -2.68579      1.46776      0.64378      0.82398
     -2.67579      1.43364      0.68250      0.75114
     -2.66579      0.95217      0.48134      0.47083
     -2.65579      0.89439      0.41124      0.48316
     -2.64579      1.49961      0.63790      0.86171
     -2.63579      1.93841      0.86575      1.07266
     -2.62579      1.50673      0.69682      0.80991
     -2.61579      1.19104      0.51139      0.67965
     -2.60579      1.84487      0.66108      1.18379
     -2.59579      2.49566      0.86100      1.63466
     -2.58579      2.37990      0.89274      1.48715
     -2.57579      2.32712      0.95470      1.37242
     -2.56579      2.28263      0.95452      1.32812
     -2.55579      2.06264      0.86212      1.20053
     -2.54579      2.09547      0.81909      1.27638
     -2.53579      2.03675      0.73644      1.30031
     -2.52579      1.58238      0.54365      1.03872
     -2.51579      1.61434      0.58901      1.02533
     -2.50579      2.09461      0.81680      1.27781
     -2.49579      2.03021      0.81798      1.21222
     -2.48579      1.73839      0.71288      1.02551
     -2.47579      1.94337      0.79580      1.14757
     -2.46579      2.39497      0.95758      1.43739
     -2.45579      2.52895      0.95345      1.57550
     -2.44579      2.30665      0.81197      1.49468
     -2.43579      2.48050      0.78725      1.69325
     -2.42579      3.33064      0.93868      2.39196
     -2.41579      4.07519      1.23106      2.84413
     -2.40579      4.08510      1.36929      2.71581
     -2.39579      3.37052      1.14209      2.22844
     -2.38579      2.90270      0.97964      1.92306
     -2.37579      2.84783      0.98833      1.85950
     -2.36579      2.64084      0.89519      1.74565
     -2.35579      3.11680      0.95105      2.16575
     -2.34579      4.47709      1.24829      3.22881
     -2.33579      5.40454      1.39097      4.01356
     -2.32579      5.92969      1.46069      4.46900
     -2.31579      6.33972      1.54576      4.79397
     -2.30579      6.63760      1.58493      5.05267
     -2.29579      6.44249      1.57124      4.87125
     -2.28579      5.52070      1.45822      4.06248
     -2.27579      4.15222      1.16981      2.98241
     -2.26579      4.08467      1.06935      3.01532
     -2.25579      5.41063      1.30641      4.10421
     -2.24579      5.28467      1.38897      3.89570
     -2.23579      4.42918      1.33807      3.09112
     -2.22579      4.39918      1.34497      3.05421
     -2.21579      4.34609      1.40172      2.94436
     -2.20579      4.05383      1.38509      2.66874
     -2.19579      4.08265      1.23493      2.84773
     -2.18579      4.40234      1.15290      3.24944
