Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -5.42868      4.24191      1.34972      2.89219
     -5.41868      3.97933      1.25621      2.72312
     -5.40868      3.51846      1.13086      2.38759
     -5.39868      3.60586      1.17149      2.43438
     -5.38868      3.72676      1.19627      2.53049
     -5.37868      2.68671      0.86185      1.82486
     -5.36868      1.40608      0.44893      0.95715
     -5.35868      1.72714      0.54241      1.18473
     -5.34868      2.52221      0.79964      1.72257
     -5.33868      2.49798      0.79848      1.69949
     -5.32868      2.88853      0.89077      1.99776
     -5.31868      3.96315      1.17593      2.78722
     -5.30868      4.41890      1.32932      3.08958
     -5.29868      4.40415      1.37856      3.02559
     -5.28868      4.79246      1.46694      3.32552
     -5.27868      4.63282      1.33620      3.29663
     -5.26868      3.96616      1.07292      2.89324
     -5.25868      3.82161      1.03157      2.79004
     -5.24868      3.98001      1.15346      2.82655
     -5.23868      4.66878      1.35010      3.31868
     -5.22868      4.71685      1.30333      3.41352
     -5.21868      3.33701      0.88951      2.44751
     -5.20868      2.61471      0.69200      1.92271
     -5.19868      3.30462      0.89070      2.41392
     -5.18868      3.50391      0.92424      2.57967
     -5.17868      2.86261      0.75747      2.10513
     -5.16868      3.08018      0.88163      2.19855
     -5.15868      3.45829      1.04888      2.40942
     -5.14868      4.05209      1.26631      2.78579
     -5.13868      5.58012      1.72954      3.85058
     -5.12868      6.06132      1.84118      4.22015
     -5.11868      4.97888      1.48597      3.49291
     -5.10868      3.81642      1.10345      2.71297
     -5.09868      3.72062      1.01046      2.71016
     -5.08868      3.99259      1.08561      2.90698
     -5.07868      3.51454      1.04041      2.47413
     -5.06868      3.00678      0.97011      2.03667
     -5.05868      2.65272      0.86803      1.78469
     -5.04868      2.18313      0.69225      1.49088
     -5.03868      2.40244      0.74012      1.66232
     -5.02868      3.25873      0.98834      2.27040
     -5.01868      3.48598      1.06071      2.42527
     -5.00868      3.05674      0.90769      2.14906
     -4.99868      2.48069      0.65492      1.82577
     -4.98868      2.01112      0.47016      1.54096
     -4.97868      1.25978      0.28259      0.97718
     -4.96868      0.46286      0.10525      0.35761
     -4.95868      0.39749      0.11026      0.28723
     -4.94868      0.92370      0.26707      0.65664
     -4.93868      0.98364      0.28624      0.69740
     -4.92868      0.41298      0.12080      0.29218
     -4.91868      0.07847      0.02293      0.05554
     -4.90868      0.16384      0.04589      0.11794
     -4.89868      0.89878      0.24847      0.65031
     -4.88868      2.07357      0.56511      1.50846
     -4.87868      2.31651      0.61616      1.70034
     -4.86868      1.81662      0.45887      1.35775
     -4.85868      1.43036      0.33607      1.09429
     -4.84868      1.07020      0.24214      0.82805
     -4.83868      0.51334      0.11574      0.39760
     -4.82868      0.11556      0.02613      0.08943
     -4.81868      0.01076      0.00245      0.00831
