Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -5.10245      6.63037      0.00000      0.00000
     -5.09245      6.50531      0.00000      0.00000
     -5.08245      5.67176      0.00000      0.00000
     -5.07245      5.72793      0.00000      0.00000
     -5.06245      7.68001      0.00000      0.00000
     -5.05245      8.89597      0.00000      0.00000
     -5.04245      8.94248      0.00000      0.00000
     -5.03245      9.17316      0.00000      0.00000
     -5.02245      9.08877      0.00000      0.00000
     -5.01245      7.40949      0.00000      0.00000
     -5.00245      5.47625      0.00000      0.00000
     -4.99245      5.37436      0.00000      0.00000
     -4.98245      6.49661      0.00000      0.00000
     -4.97245      7.64912      0.00000      0.00000
     -4.96245      9.14971      0.00000      0.00000
     -4.95245      9.61684      0.00000      0.00000
     -4.94245      8.70542      0.00000      0.00000
     -4.93245      7.55183      0.00000      0.00000
     -4.92245      6.69764      0.00000      0.00000
     -4.91245      6.74611      0.00000      0.00000
     -4.90245      7.88912      0.00000      0.00000
     -4.89245      9.98311      0.00000      0.00000
     -4.88245     11.36282      0.00000      0.00000
     -4.87245     11.76618      0.00000      0.00000
     -4.86245     10.91537      0.00000      0.00000
     -4.85245      9.01568      0.00000      0.00000
     -4.84245      8.32049      0.00000      0.00000
     -4.83245      8.61992      0.00000      0.00000
     -4.82245      9.21215      0.00000      0.00000
     -4.81245     10.89856      0.00000      0.00000
     -4.80245     12.94608      0.00000      0.00000
     -4.79245     13.17285      0.00000      0.00000
     -4.78245     10.18136      0.00000      0.00000
     -4.77245      7.69622      0.00000      0.00000
     -4.76245      7.16353      0.00000      0.00000
     -4.75245      7.48683      0.00000      0.00000
     -4.74245      7.29817      0.00000      0.00000
     -4.73245      6.39726      0.00000      0.00000
     -4.72245      6.05262      0.00000      0.00000
     -4.71245      5.59831      0.00000      0.00000
     -4.70245      4.88395      0.00000      0.00000
     -4.69245      4.03969      0.00000      0.00000
     -4.68245      3.43186      0.00000      0.00000
     -4.67245      2.99981      0.00000      0.00000
     -4.66245      2.66401      0.00000      0.00000
     -4.65245      2.22872      0.00000      0.00000
     -4.64245      1.77734      0.00000      0.00000
     -4.63245      2.30637      0.00000      0.00000
     -4.62245      3.14240      0.00000      0.00000
     -4.61245      2.83813      0.00000      0.00000
     -4.60245      1.99275      0.00000      0.00000
     -4.59245      1.30438      0.00000      0.00000
     -4.58245      1.16409      0.00000      0.00000
     -4.57245      1.88850      0.00000      0.00000
     -4.56245      2.58642      0.00000      0.00000
     -4.55245      2.21386      0.00000      0.00000
     -4.54245      1.74652      0.00000      0.00000
     -4.53245      1.89401      0.00000      0.00000
     -4.52245      2.09112      0.00000      0.00000
     -4.51245      2.34204      0.00000      0.00000
     -4.50245      2.05460      0.00000      0.00000
     -4.49245      0.99914      0.00000      0.00000
     -4.48245      0.52018      0.00000      0.00000
     -4.47245      1.12195      0.00000      0.00000
     -4.46245      1.85432      0.00000      0.00000
     -4.45245      1.77954      0.00000      0.00000
     -4.44245      1.57153      0.00000      0.00000
     -4.43245      1.73833      0.00000      0.00000
     -4.42245      1.50747      0.00000      0.00000
     -4.41245      1.38707      0.00000      0.00000
     -4.40245      2.11919      0.00000      0.00000
     -4.39245      2.43426      0.00000      0.00000
     -4.38245      2.10324      0.00000      0.00000
     -4.37245      1.98365      0.00000      0.00000
     -4.36245      1.45852      0.00000      0.00000
     -4.35245      0.98906      0.00000      0.00000
     -4.34245      0.97884      0.00000      0.00000
     -4.33245      0.99684      0.00000      0.00000
     -4.32245      1.29703      0.00000      0.00000
     -4.31245      1.64518      0.00000      0.00000
     -4.30245      1.64004      0.00000      0.00000
     -4.29245      1.45224      0.00000      0.00000
     -4.28245      1.01344      0.00000      0.00000
     -4.27245      0.82583      0.00000      0.00000
     -4.26245      1.09528      0.00000      0.00000
     -4.25245      1.93658      0.00000      0.00000
     -4.24245      2.21708      0.00000      0.00000
     -4.23245      1.90590      0.00000      0.00000
     -4.22245      1.95797      0.00000      0.00000
     -4.21245      1.49363      0.00000      0.00000
     -4.20245      0.69752      0.00000      0.00000
     -4.19245      0.23457      0.00000      0.00000
     -4.18245      0.32433      0.00000      0.00000
     -4.17245      0.72544      0.00000      0.00000
     -4.16245      1.34953      0.00000      0.00000
     -4.15245      2.16624      0.00000      0.00000
     -4.14245      1.72324      0.00000      0.00000
     -4.13245      0.60708      0.00000      0.00000
     -4.12245      0.48702      0.00000      0.00000
     -4.11245      1.20762      0.00000      0.00000
     -4.10245      1.79532      0.00000      0.00000
     -4.09245      2.09952      0.00000      0.00000
     -4.08245      2.28363      0.00000      0.00000
     -4.07245      2.17540      0.00000      0.00000
     -4.06245      1.70657      0.00000      0.00000
     -4.05245      1.14994      0.00000      0.00000
     -4.04245      0.81195      0.00000      0.00000
     -4.03245      0.93939      0.00000      0.00000
     -4.02245      1.56746      0.00000      0.00000
     -4.01245      1.64756      0.00000      0.00000
     -4.00245      1.68264      0.00000      0.00000
     -3.99245      2.65908      0.00000      0.00000
     -3.98245      3.98868      0.00000      0.00000
     -3.97245      6.12689      0.00000      0.00000
     -3.96245     10.83379      0.00000      0.00000
     -3.95245     17.07751      0.00000      0.00000
     -3.94245     20.73053      0.00000      0.00000
     -3.93245     20.50236      0.00000      0.00000
     -3.92245     17.43249      0.00000      0.00000
     -3.91245     15.27091      0.00000      0.00000
     -3.90245     14.95651      0.00000      0.00000
     -3.89245     14.61046      0.00000      0.00000
     -3.88245     13.57990      0.00000      0.00000
