Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -3.88000      0.73549      0.18984      0.54565
     -3.87000      1.22373      0.30314      0.92059
     -3.86000      2.11981      0.49488      1.62493
     -3.85000      4.21671      1.03620      3.18050
     -3.84000      7.70009      2.06456      5.63553
     -3.83000     10.77749      3.00298      7.77451
     -3.82000     10.51266      2.95614      7.55652
     -3.81000      8.98551      2.50060      6.48491
     -3.80000      8.45149      2.30364      6.14785
     -3.79000      8.20131      2.23013      5.97119
     -3.78000      7.41569      2.00589      5.40980
     -3.77000      7.11977      1.89433      5.22544
     -3.76000      6.82127      1.81366      5.00761
     -3.75000      6.30867      1.70834      4.60033
     -3.74000      5.82496      1.58644      4.23853
     -3.73000      5.71956      1.55637      4.16319
     -3.72000      7.39376      2.00451      5.38925
     -3.71000      8.75204      2.41679      6.33525
     -3.70000      6.99194      1.99373      4.99821
     -3.69000      4.67565      1.32900      3.34666
     -3.68000      3.93424      1.03878      2.89546
     -3.67000      2.97654      0.77420      2.20234
     -3.66000      2.43422      0.65676      1.77746
     -3.65000      3.31603      0.86798      2.44805
     -3.64000      4.48066      1.13890      3.34176
     -3.63000      4.35766      1.10273      3.25493
     -3.62000      3.63580      0.97839      2.65741
     -3.61000      3.84535      1.09591      2.74944
     -3.60000      3.67547      1.03545      2.64002
     -3.59000      2.89492      0.79540      2.09953
     -3.58000      2.56180      0.66801      1.89379
     -3.57000      2.45246      0.59664      1.85582
     -3.56000      1.96315      0.51136      1.45179
     -3.55000      1.61289      0.44886      1.16403
     -3.54000      1.45216      0.38783      1.06433
     -3.53000      1.27595      0.37801      0.89794
     -3.52000      1.38364      0.47748      0.90616
     -3.51000      1.27015      0.47909      0.79106
     -3.50000      0.95658      0.38478      0.57180
     -3.49000      0.50059      0.20601      0.29458
     -3.48000      0.20637      0.08002      0.12636
     -3.47000      0.56891      0.19678      0.37213
     -3.46000      1.46483      0.49185      0.97298
     -3.45000      1.90026      0.61285      1.28741
     -3.44000      2.02341      0.62924      1.39417
     -3.43000      2.19040      0.67169      1.51870
     -3.42000      1.51840      0.44788      1.07052
     -3.41000      0.64404      0.16991      0.47413
     -3.40000      0.44343      0.10895      0.33448
     -3.39000      0.78869      0.23052      0.55817
     -3.38000      1.28494      0.41054      0.87440
     -3.37000      1.45479      0.48621      0.96858
     -3.36000      1.62086      0.56353      1.05733
     -3.35000      1.36548      0.46549      0.89999
     -3.34000      0.59266      0.19084      0.40182
     -3.33000      0.21242      0.05412      0.15831
     -3.32000      0.56324      0.12058      0.44265
     -3.31000      1.46601      0.36250      1.10351
     -3.30000      2.02010      0.57754      1.44256
     -3.29000      1.78572      0.53261      1.25311
     -3.28000      1.82678      0.52257      1.30421
     -3.27000      2.16918      0.69230      1.47688
     -3.26000      2.20145      0.82384      1.37762
     -3.25000      1.46419      0.60620      0.85799
     -3.24000      0.81806      0.36296      0.45510
     -3.23000      0.79293      0.31982      0.47311
     -3.22000      0.78775      0.23698      0.55077
     -3.21000      0.59858      0.14824      0.45034
     -3.20000      0.48201      0.13735      0.34466
     -3.19000      0.73061      0.22899      0.50163
     -3.18000      1.39165      0.43613      0.95553
     -3.17000      2.40991      0.73724      1.67268
     -3.16000      2.71643      0.81229      1.90414
     -3.15000      2.63467      0.82497      1.80970
     -3.14000      3.31626      1.12367      2.19259
     -3.13000      3.56824      1.21041      2.35784
     -3.12000      3.89213      1.20683      2.68530
     -3.11000      4.47251      1.32189      3.15062
     -3.10000      4.55176      1.39744      3.15432
     -3.09000      4.47192      1.49593      2.97599
     -3.08000      3.73066      1.28310      2.44756
     -3.07000      3.08691      0.93551      2.15140
     -3.06000      3.12263      0.81971      2.30292
     -3.05000      3.10224      0.82285      2.27939
