Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -4.11112      8.14162      0.00000      0.00000
     -4.10112      8.67143      0.00000      0.00000
     -4.09112      7.66046      0.00000      0.00000
     -4.08112      5.80508      0.00000      0.00000
     -4.07112      4.88075      0.00000      0.00000
     -4.06112      4.89363      0.00000      0.00000
     -4.05112      5.21075      0.00000      0.00000
     -4.04112      5.00601      0.00000      0.00000
     -4.03112      4.15116      0.00000      0.00000
     -4.02112      3.87089      0.00000      0.00000
     -4.01112      3.89322      0.00000      0.00000
     -4.00112      3.78609      0.00000      0.00000
     -3.99112      3.98021      0.00000      0.00000
     -3.98112      3.97941      0.00000      0.00000
     -3.97112      2.55308      0.00000      0.00000
     -3.96112      1.49687      0.00000      0.00000
     -3.95112      1.61713      0.00000      0.00000
     -3.94112      1.46613      0.00000      0.00000
     -3.93112      1.15599      0.00000      0.00000
     -3.92112      1.21679      0.00000      0.00000
     -3.91112      1.84383      0.00000      0.00000
     -3.90112      3.15684      0.00000      0.00000
     -3.89112      4.13618      0.00000      0.00000
     -3.88112      3.55275      0.00000      0.00000
     -3.87112      2.81537      0.00000      0.00000
     -3.86112      2.71380      0.00000      0.00000
     -3.85112      2.34090      0.00000      0.00000
     -3.84112      1.31439      0.00000      0.00000
     -3.83112      1.06566      0.00000      0.00000
     -3.82112      2.02512      0.00000      0.00000
     -3.81112      2.62366      0.00000      0.00000
     -3.80112      2.73496      0.00000      0.00000
     -3.79112      3.11172      0.00000      0.00000
     -3.78112      2.75369      0.00000      0.00000
     -3.77112      2.36131      0.00000      0.00000
     -3.76112      2.62590      0.00000      0.00000
     -3.75112      2.30200      0.00000      0.00000
     -3.74112      1.55545      0.00000      0.00000
     -3.73112      1.64768      0.00000      0.00000
     -3.72112      3.21302      0.00000      0.00000
     -3.71112      4.46563      0.00000      0.00000
     -3.70112      3.90789      0.00000      0.00000
     -3.69112      2.84777      0.00000      0.00000
     -3.68112      1.49602      0.00000      0.00000
     -3.67112      0.62246      0.00000      0.00000
     -3.66112      0.99306      0.00000      0.00000
     -3.65112      2.09597      0.00000      0.00000
     -3.64112      3.53919      0.00000      0.00000
     -3.63112      5.06155      0.00000      0.00000
     -3.62112      5.15253      0.00000      0.00000
     -3.61112      4.34064      0.00000      0.00000
     -3.60112      4.91873      0.00000      0.00000
     -3.59112      6.30082      0.00000      0.00000
     -3.58112      7.15248      0.00000      0.00000
     -3.57112      6.99778      0.00000      0.00000
     -3.56112      7.75050      0.00000      0.00000
     -3.55112      8.58650      0.00000      0.00000
     -3.54112      7.70855      0.00000      0.00000
     -3.53112      6.60413      0.00000      0.00000
     -3.52112      6.36692      0.00000      0.00000
     -3.51112      5.71040      0.00000      0.00000
     -3.50112      4.77413      0.00000      0.00000
     -3.49112      4.67820      0.00000      0.00000
     -3.48112      4.83938      0.00000      0.00000
     -3.47112      4.72508      0.00000      0.00000
     -3.46112      6.03794      0.00000      0.00000
     -3.45112      7.12490      0.00000      0.00000
     -3.44112      6.64268      0.00000      0.00000
     -3.43112      6.61294      0.00000      0.00000
     -3.42112      6.30183      0.00000      0.00000
     -3.41112      5.98462      0.00000      0.00000
     -3.40112      7.08985      0.00000      0.00000
     -3.39112      9.08529      0.00000      0.00000
     -3.38112     10.78407      0.00000      0.00000
     -3.37112      9.91335      0.00000      0.00000
     -3.36112      8.32379      0.00000      0.00000
     -3.35112      7.03160      0.00000      0.00000
     -3.34112      4.78774      0.00000      0.00000
     -3.33112      2.95979      0.00000      0.00000
     -3.32112      3.07270      0.00000      0.00000
     -3.31112      4.01039      0.00000      0.00000
     -3.30112      4.22630      0.00000      0.00000
     -3.29112      4.86504      0.00000      0.00000
     -3.28112      5.95460      0.00000      0.00000
     -3.27112      5.28376      0.00000      0.00000
     -3.26112      4.48345      0.00000      0.00000
     -3.25112      4.45756      0.00000      0.00000
     -3.24112      4.11186      0.00000      0.00000
     -3.23112      4.75893      0.00000      0.00000
     -3.22112      6.99444      0.00000      0.00000
     -3.21112      7.17747      0.00000      0.00000
     -3.20112      5.27397      0.00000      0.00000
     -3.19112      4.80201      0.00000      0.00000
     -3.18112      4.60011      0.00000      0.00000
     -3.17112      4.22185      0.00000      0.00000
     -3.16112      4.34279      0.00000      0.00000
     -3.15112      4.17980      0.00000      0.00000
     -3.14112      4.33879      0.00000      0.00000
     -3.13112      5.30661      0.00000      0.00000
     -3.12112      5.54039      0.00000      0.00000
     -3.11112      4.40969      0.00000      0.00000
     -3.10112      4.19543      0.00000      0.00000
     -3.09112      5.24836      0.00000      0.00000
     -3.08112      6.43079      0.00000      0.00000
     -3.07112      7.97870      0.00000      0.00000
     -3.06112      7.77801      0.00000      0.00000
     -3.05112      5.97833      0.00000      0.00000
     -3.04112      4.62886      0.00000      0.00000
     -3.03112      3.88935      0.00000      0.00000
     -3.02112      4.33385      0.00000      0.00000
     -3.01112      4.75771      0.00000      0.00000
     -3.00112      3.61494      0.00000      0.00000
     -2.99112      2.97685      0.00000      0.00000
     -2.98112      3.92272      0.00000      0.00000
     -2.97112      5.60022      0.00000      0.00000
     -2.96112      6.12697      0.00000      0.00000
     -2.95112      4.90031      0.00000      0.00000
     -2.94112      4.27650      0.00000      0.00000
     -2.93112      5.27522      0.00000      0.00000
     -2.92112      5.42159      0.00000      0.00000
     -2.91112      3.82112      0.00000      0.00000
     -2.90112      2.66825      0.00000      0.00000
     -2.89112      2.96731      0.00000      0.00000
     -2.88112      3.28192      0.00000      0.00000
     -2.87112      3.70692      0.00000      0.00000
     -2.86112      4.45956      0.00000      0.00000
     -2.85112      4.07522      0.00000      0.00000
     -2.84112      3.72039      0.00000      0.00000
     -2.83112      3.53962      0.00000      0.00000
     -2.82112      2.92077      0.00000      0.00000
     -2.81112      2.98135      0.00000      0.00000
     -2.80112      3.42025      0.00000      0.00000
     -2.79112      2.64472      0.00000      0.00000
     -2.78112      1.66230      0.00000      0.00000
     -2.77112      2.10849      0.00000      0.00000
