Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -5.12605      7.80208      0.00000      0.00000
     -5.11605      7.58384      0.00000      0.00000
     -5.10605      7.91277      0.00000      0.00000
     -5.09605      7.64700      0.00000      0.00000
     -5.08605      7.54520      0.00000      0.00000
     -5.07605      8.88938      0.00000      0.00000
     -5.06605      9.99653      0.00000      0.00000
     -5.05605     10.19338      0.00000      0.00000
     -5.04605      9.71011      0.00000      0.00000
     -5.03605      9.39239      0.00000      0.00000
     -5.02605     10.73334      0.00000      0.00000
     -5.01605     12.09256      0.00000      0.00000
     -5.00605     11.16310      0.00000      0.00000
     -4.99605      9.57617      0.00000      0.00000
     -4.98605      9.22026      0.00000      0.00000
     -4.97605      8.95886      0.00000      0.00000
     -4.96605      8.51384      0.00000      0.00000
     -4.95605      8.48828      0.00000      0.00000
     -4.94605      8.86764      0.00000      0.00000
     -4.93605      8.85318      0.00000      0.00000
     -4.92605      7.88085      0.00000      0.00000
     -4.91605      7.68742      0.00000      0.00000
     -4.90605      8.18165      0.00000      0.00000
     -4.89605      8.20034      0.00000      0.00000
     -4.88605      8.68097      0.00000      0.00000
     -4.87605      9.55374      0.00000      0.00000
     -4.86605      9.61752      0.00000      0.00000
     -4.85605      8.85973      0.00000      0.00000
     -4.84605      8.25751      0.00000      0.00000
     -4.83605      7.89987      0.00000      0.00000
     -4.82605      7.09676      0.00000      0.00000
     -4.81605      6.66466      0.00000      0.00000
     -4.80605      5.71941      0.00000      0.00000
     -4.79605      4.64116      0.00000      0.00000
     -4.78605      4.25464      0.00000      0.00000
     -4.77605      3.94894      0.00000      0.00000
     -4.76605      3.22325      0.00000      0.00000
     -4.75605      2.64928      0.00000      0.00000
     -4.74605      2.49612      0.00000      0.00000
     -4.73605      2.39946      0.00000      0.00000
     -4.72605      1.92250      0.00000      0.00000
     -4.71605      1.71904      0.00000      0.00000
     -4.70605      1.90951      0.00000      0.00000
     -4.69605      2.29670      0.00000      0.00000
     -4.68605      2.41704      0.00000      0.00000
     -4.67605      2.03096      0.00000      0.00000
     -4.66605      1.63245      0.00000      0.00000
     -4.65605      1.64991      0.00000      0.00000
     -4.64605      1.98467      0.00000      0.00000
     -4.63605      1.81058      0.00000      0.00000
     -4.62605      1.63758      0.00000      0.00000
     -4.61605      1.86788      0.00000      0.00000
     -4.60605      2.02711      0.00000      0.00000
     -4.59605      1.74195      0.00000      0.00000
     -4.58605      1.40897      0.00000      0.00000
     -4.57605      1.43110      0.00000      0.00000
     -4.56605      1.38809      0.00000      0.00000
     -4.55605      1.66268      0.00000      0.00000
     -4.54605      2.34183      0.00000      0.00000
