Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -4.99000      2.80646      0.91414      1.89232
     -4.98000      3.46933      1.15910      2.31022
     -4.97000      3.27705      1.10771      2.16934
     -4.96000      2.74472      0.94820      1.79652
     -4.95000      2.76349      0.97780      1.78570
     -4.94000      2.76127      0.96740      1.79387
     -4.93000      3.28147      1.07319      2.20828
     -4.92000      4.50911      1.41133      3.09778
     -4.91000      4.51100      1.43639      3.07461
     -4.90000      4.07643      1.35699      2.71944
     -4.89000      4.26723      1.44919      2.81804
     -4.88000      4.24730      1.44883      2.79846
     -4.87000      3.92953      1.33821      2.59132
     -4.86000      3.74235      1.26064      2.48170
     -4.85000      3.73235      1.23827      2.49408
     -4.84000      3.90249      1.30515      2.59734
     -4.83000      3.73969      1.26341      2.47628
     -4.82000      3.02017      1.02576      1.99441
     -4.81000      2.83813      0.96484      1.87328
     -4.80000      3.46125      1.17937      2.28187
     -4.79000      4.50566      1.55150      2.95416
     -4.78000      5.59154      1.90940      3.68214
     -4.77000      5.07566      1.69213      3.38354
     -4.76000      3.94636      1.27996      2.66640
     -4.75000      3.58820      1.14783      2.44037
     -4.74000      4.19666      1.35499      2.84168
     -4.73000      5.39653      1.74990      3.64663
     -4.72000      5.63802      1.80193      3.83609
     -4.71000      4.71085      1.48218      3.22867
     -4.70000      4.25368      1.34780      2.90588
     -4.69000      4.19719      1.35730      2.83989
     -4.68000      4.94645      1.64481      3.30164
     -4.67000      5.96197      2.01601      3.94596
     -4.66000      5.73508      1.96284      3.77224
     -4.65000      5.14900      1.78737      3.36163
     -4.64000      4.87412      1.68974      3.18438
     -4.63000      4.34765      1.50111      2.84654
     -4.62000      4.01904      1.38371      2.63533
     -4.61000      3.92475      1.35275      2.57200
     -4.60000      3.91394      1.33303      2.58091
     -4.59000      4.30105      1.44370      2.85735
     -4.58000      3.90104      1.33713      2.56391
     -4.57000      3.03748      1.07138      1.96611
     -4.56000      2.63933      0.91240      1.72692
     -4.55000      2.43824      0.79981      1.63843
     -4.54000      1.79600      0.56204      1.23396
     -4.53000      1.34839      0.40972      0.93866
     -4.52000      1.36717      0.41065      0.95651
     -4.51000      1.34926      0.41350      0.93576
     -4.50000      1.51299      0.48096      1.03203
     -4.49000      1.67738      0.54479      1.13260
     -4.48000      1.24045      0.39923      0.84122
     -4.47000      0.71255      0.21864      0.49391
     -4.46000      0.60176      0.17933      0.42242
     -4.45000      0.92350      0.27401      0.64949
     -4.44000      1.34843      0.40047      0.94796
     -4.43000      1.09884      0.32799      0.77085
     -4.42000      0.54845      0.16914      0.37932
     -4.41000      0.63146      0.20462      0.42684
     -4.40000      1.09683      0.35015      0.74668
     -4.39000      0.98704      0.31145      0.67559
     -4.38000      0.64176      0.20218      0.43959
     -4.37000      0.78388      0.24453      0.53936
     -4.36000      1.03910      0.31372      0.72538
     -4.35000      1.16634      0.34311      0.82323
     -4.34000      0.94226      0.28403      0.65823
     -4.33000      0.55542      0.17766      0.37777
     -4.32000      0.62813      0.20567      0.42246
     -4.31000      1.01783      0.32890      0.68893
     -4.30000      1.32149      0.42889      0.89261
     -4.29000      1.12437      0.37044      0.75393
     -4.28000      0.57308      0.18833      0.38476
     -4.27000      0.47772      0.14674      0.33098
     -4.26000      0.78107      0.22958      0.55149
     -4.25000      1.01209      0.29221      0.71988
     -4.24000      0.82033      0.24258      0.57775
     -4.23000      0.68436      0.21799      0.46636
     -4.22000      0.59768      0.19376      0.40392
     -4.21000      0.42064      0.13129      0.28934
     -4.20000      0.62963      0.19309      0.43654
     -4.19000      0.88540      0.28085      0.60455
     -4.18000      0.70601      0.23008      0.47592
     -4.17000      0.38571      0.12474      0.26097
     -4.16000      0.48468      0.14952      0.33516
     -4.15000      1.06876      0.32476      0.74401
     -4.14000      1.36718      0.41280      0.95438
     -4.13000      0.79290      0.23935      0.55354
     -4.12000      0.32157      0.10254      0.21903
     -4.11000      0.36201      0.12167      0.24034
     -4.10000      0.52957      0.17258      0.35699
     -4.09000      0.91195      0.29021      0.62174
     -4.08000      1.07034      0.34429      0.72605
     -4.07000      0.78300      0.25841      0.52459
     -4.06000      0.52536      0.17417      0.35119
     -4.05000      0.37295      0.12017      0.25278
     -4.04000      0.56702      0.17364      0.39338
     -4.03000      1.08254      0.32524      0.75730
