Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -5.02092      4.13049      1.36470      2.76579
     -5.01092      4.32903      1.42547      2.90356
     -5.00092      4.29960      1.44127      2.85833
     -4.99092      4.28202      1.48636      2.79566
     -4.98092      4.06678      1.41461      2.65217
     -4.97092      3.74358      1.27571      2.46787
     -4.96092      4.00725      1.35668      2.65057
     -4.95092      4.53461      1.53314      3.00147
     -4.94092      4.79692      1.55250      3.24441
     -4.93092      5.74834      1.77192      3.97642
     -4.92092      6.79186      2.08759      4.70428
     -4.91092      6.68448      2.11989      4.56459
     -4.90092      5.66160      1.85641      3.80519
     -4.89092      4.53899      1.48307      3.05591
     -4.88092      4.04728      1.29305      2.75424
     -4.87092      3.72932      1.19585      2.53347
     -4.86092      3.96331      1.29801      2.66531
     -4.85092      4.47335      1.48581      2.98754
     -4.84092      4.54887      1.49591      3.05295
     -4.83092      4.06502      1.32553      2.73949
     -4.82092      3.93945      1.30749      2.63196
     -4.81092      3.73712      1.27249      2.46463
     -4.80092      3.60836      1.24788      2.36048
     -4.79092      4.43515      1.51699      2.91816
     -4.78092      5.32253      1.83050      3.49203
     -4.77092      4.93158      1.73729      3.19429
     -4.76092      4.15386      1.46426      2.68960
     -4.75092      4.07175      1.41443      2.65733
     -4.74092      4.37364      1.54254      2.83110
     -4.73092      4.18847      1.48509      2.70338
     -4.72092      3.92860      1.35602      2.57258
     -4.71092      3.52439      1.19825      2.32614
     -4.70092      3.04388      1.05785      1.98603
     -4.69092      2.87444      1.01940      1.85505
     -4.68092      2.64378      0.92944      1.71434
     -4.67092      1.81062      0.62549      1.18513
     -4.66092      1.28050      0.42335      0.85715
     -4.65092      1.51279      0.46838      1.04441
     -4.64092      1.95401      0.59731      1.35670
     -4.63092      1.63429      0.51632      1.11797
     -4.62092      0.88972      0.29576      0.59396
     -4.61092      0.69473      0.22489      0.46985
     -4.60092      0.95487      0.29577      0.65910
     -4.59092      0.83303      0.25286      0.58018
     -4.58092      0.44664      0.13632      0.31032
     -4.57092      0.51753      0.16366      0.35386
     -4.56092      1.08780      0.33833      0.74948
     -4.55092      1.67463      0.51113      1.16350
     -4.54092      1.41093      0.43469      0.97624
     -4.53092      0.75107      0.24198      0.50909
     -4.52092      0.35621      0.11606      0.24015
     -4.51092      0.53653      0.16520      0.37133
     -4.50092      0.93417      0.28610      0.64807
     -4.49092      0.71301      0.22117      0.49185
     -4.48092      0.50377      0.16575      0.33802
     -4.47092      0.79427      0.26314      0.53113
     -4.46092      1.32854      0.42346      0.90508
     -4.45092      1.85481      0.57886      1.27596
     -4.44092      1.37005      0.42955      0.94050
     -4.43092      0.44888      0.14354      0.30534
     -4.42092      0.15002      0.04768      0.10234
     -4.41092      0.42877      0.13251      0.29626
     -4.40092      0.90585      0.27976      0.62609
     -4.39092      0.87602      0.27265      0.60338
     -4.38092      0.38136      0.12034      0.26102
     -4.37092      0.20198      0.06520      0.13678
     -4.36092      0.56167      0.18023      0.38144
     -4.35092      1.28940      0.40436      0.88504
     -4.34092      1.60469      0.49221      1.11248
     -4.33092      0.94704      0.28819      0.65885
     -4.32092      0.43374      0.13794      0.29580
     -4.31092      0.33294      0.10971      0.22323
     -4.30092      0.29663      0.09354      0.20309
     -4.29092      0.61159      0.18729      0.42430
     -4.28092      0.88811      0.27689      0.61122
     -4.27092      0.58271      0.18672      0.39599
     -4.26092      0.35281      0.11883      0.23398
     -4.25092      0.62012      0.20963      0.41049
     -4.24092      1.15418      0.37658      0.77760
     -4.23092      1.59844      0.50101      1.09743
     -4.22092      1.28946      0.39442      0.89503
     -4.21092      0.48378      0.14668      0.33711
     -4.20092      0.07741      0.02344      0.05398
     -4.19092      0.05179      0.01581      0.03597
     -4.18092      0.31582      0.09654      0.21927
     -4.17092      0.87977      0.26898      0.61079
     -4.16092      1.08629      0.33347      0.75281
     -4.15092      0.62098      0.19295      0.42802
     -4.14092      0.20131      0.06460      0.13671
     -4.13092      0.25605      0.08453      0.17152
     -4.12092      0.74118      0.23594      0.50525
     -4.11092      1.40900      0.43231      0.97669
     -4.10092      1.56110      0.46457      1.09653
     -4.09092      1.02130      0.28994      0.73136
     -4.08092      1.07439      0.27716      0.79723
     -4.07092      2.13026      0.53837      1.59189
     -4.06092      3.01452      0.75876      2.25575
     -4.05092      3.69796      0.94047      2.75749
     -4.04092      4.20829      1.09501      3.11328
     -4.03092      4.09989      1.08222      3.01766
     -4.02092      4.05958      1.07375      2.98583
     -4.01092      4.55560      1.20724      3.34836
     -4.00092      4.87651      1.30183      3.57469
     -3.99092      5.45160      1.49566      3.95594
     -3.98092      6.58295      1.86308      4.71986
     -3.97092      7.94148      2.30309      5.63839
     -3.96092      9.15946      2.75373      6.40573
     -3.95092      8.96543      2.79542      6.17001
     -3.94092      7.49165      2.37283      5.11882
     -3.93092      6.57096      2.06379      4.50717
     -3.92092      6.77284      2.10486      4.66799
     -3.91092      6.90450      2.15187      4.75264
     -3.90092      6.02428      1.86729      4.15699
     -3.89092      5.29126      1.62483      3.66643
     -3.88092      4.91101      1.53377      3.37724
     -3.87092      4.74260      1.50512      3.23748
     -3.86092      5.78806      1.83461      3.95346
     -3.85092      6.85443      2.17456      4.67987
     -3.84092      6.45904      2.05036      4.40868
     -3.83092      5.01884      1.56924      3.44959
     -3.82092      3.75085      1.14246      2.60840
     -3.81092      3.47280      1.05562      2.41718
     -3.80092      3.91775      1.19142      2.72633
     -3.79092      3.79906      1.14287      2.65620
     -3.78092      3.37572      1.00819      2.36753
     -3.77092      2.99626      0.90068      2.09557
     -3.76092      2.44758      0.73031      1.71727
     -3.75092      2.30915      0.67366      1.63550
     -3.74092      2.41054      0.71954      1.69099
     -3.73092      2.41332      0.73466      1.67866
     -3.72092      1.97537      0.60511      1.37025
     -3.71092      1.19423      0.38035      0.81388
     -3.70092      0.79395      0.28481      0.50914
