Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.03545      5.00702      1.61141      3.39561
     -5.02545      4.45556      1.42110      3.03446
     -5.01545      4.07437      1.36440      2.70997
     -5.00545      4.31928      1.55023      2.76905
     -4.99545      5.42047      1.99387      3.42659
     -4.98545      5.98322      2.16805      3.81517
     -4.97545      5.62560      2.00494      3.62066
     -4.96545      5.05457      1.81912      3.23545
     -4.95545      4.46186      1.61463      2.84723
     -4.94545      4.00928      1.40685      2.60243
     -4.93545      3.76439      1.29165      2.47274
     -4.92545      3.38595      1.18872      2.19723
     -4.91545      3.27071      1.15149      2.11922
     -4.90545      2.83945      0.96997      1.86947
     -4.89545      2.00935      0.66449      1.34486
     -4.88545      1.36733      0.45250      0.91483
     -4.87545      1.16481      0.36993      0.79489
     -4.86545      1.24054      0.36124      0.87930
     -4.85545      1.43301      0.40142      1.03159
     -4.84545      1.49351      0.41220      1.08131
     -4.83545      1.30634      0.38692      0.91942
     -4.82545      1.46324      0.49258      0.97066
     -4.81545      2.44659      0.85143      1.59516
     -4.80545      2.99968      1.02541      1.97427
     -4.79545      2.65662      0.88103      1.77559
     -4.78545      2.57658      0.80115      1.77543
     -4.77545      2.83589      0.82441      2.01148
     -4.76545      2.47865      0.69713      1.78151
     -4.75545      1.33631      0.36727      0.96903
     -4.74545      0.69829      0.19425      0.50404
     -4.73545      1.00714      0.30091      0.70623
     -4.72545      2.00277      0.63198      1.37079
     -4.71545      2.44246      0.79903      1.64343
     -4.70545      1.60088      0.52038      1.08050
     -4.69545      0.98450      0.28028      0.70422
     -4.68545      1.01022      0.26063      0.74959
     -4.67545      1.06075      0.29311      0.76765
     -4.66545      1.16062      0.34957      0.81105
     -4.65545      1.24663      0.38430      0.86232
     -4.64545      1.38956      0.42168      0.96788
     -4.63545      1.66278      0.51947      1.14331
     -4.62545      1.85278      0.63216      1.22062
     -4.61545      1.93972      0.70667      1.23304
     -4.60545      1.67761      0.60971      1.06790
     -4.59545      1.13421      0.37418      0.76003
     -4.58545      0.83196      0.24163      0.59033
     -4.57545      0.60328      0.17630      0.42698
     -4.56545      0.58767      0.18667      0.40099
     -4.55545      0.72817      0.23441      0.49375
     -4.54545      0.78378      0.25002      0.53375
     -4.53545      0.94109      0.30633      0.63476
     -4.52545      0.82375      0.27695      0.54680
     -4.51545      0.76188      0.26576      0.49612
     -4.50545      0.97752      0.34637      0.63115
     -4.49545      0.99908      0.35456      0.64452
     -4.48545      0.90460      0.31015      0.59446
     -4.47545      0.84531      0.27655      0.56876
     -4.46545      0.82782      0.26840      0.55942
     -4.45545      0.63772      0.21071      0.42701
     -4.44545      0.51040      0.17547      0.33493
     -4.43545      0.66779      0.22793      0.43986
     -4.42545      0.95425      0.32329      0.63097
     -4.41545      0.93359      0.32273      0.61086
     -4.40545      0.79069      0.28279      0.50790
     -4.39545      0.98926      0.35469      0.63457
     -4.38545      1.29596      0.46515      0.83082
     -4.37545      1.22465      0.44211      0.78254
     -4.36545      0.91927      0.32527      0.59400
     -4.35545      0.69923      0.23771      0.46152
     -4.34545      0.39587      0.13061      0.26525
     -4.33545      0.29463      0.09474      0.19989
     -4.32545      0.43441      0.14319      0.29123
     -4.31545      0.58920      0.20156      0.38764
     -4.30545      0.72118      0.24795      0.47323
     -4.29545      0.86229      0.28723      0.57506
     -4.28545      0.87552      0.29002      0.58550
     -4.27545      0.66553      0.23142      0.43411
     -4.26545      0.54948      0.20364      0.34584
     -4.25545      0.66102      0.24048      0.42054
     -4.24545      0.75871      0.26416      0.49456
     -4.23545      0.51998      0.17586      0.34411
     -4.22545      0.42175      0.14447      0.27728
     -4.21545      0.66570      0.23031      0.43539
     -4.20545      0.73096      0.24872      0.48224
     -4.19545      0.80727      0.27017      0.53710
     -4.18545      0.81917      0.27870      0.54048
     -4.17545      0.49483      0.17377      0.32106
     -4.16545      0.38143      0.13869      0.24274
     -4.15545      0.64709      0.23256      0.41453
     -4.14545      0.91729      0.32752      0.58977
     -4.13545      1.10219      0.39930      0.70289
     -4.12545      0.90338      0.33141      0.57197
     -4.11545      0.45895      0.16666      0.29230
     -4.10545      0.42153      0.14387      0.27766
     -4.09545      0.65921      0.21950      0.43971
     -4.08545      0.73932      0.24488      0.49444
     -4.07545      0.67009      0.23219      0.43789
     -4.06545      1.30371      0.47637      0.82735
     -4.05545      2.54546      0.92764      1.61781
     -4.04545      3.04766      1.10828      1.93938
     -4.03545      2.86471      1.03968      1.82504
     -4.02545      2.77192      0.99650      1.77542
     -4.01545      3.19464      1.13162      2.06301
     -4.00545      3.68099      1.27830      2.40269
     -3.99545      3.42872      1.16844      2.26028
     -3.98545      3.39321      1.13785      2.25535
     -3.97545      4.12507      1.35461      2.77046
     -3.96545      4.26867      1.39094      2.87773
     -3.95545      3.48045      1.12890      2.35156
     -3.94545      3.14388      0.99577      2.14811
     -3.93545      3.61980      1.10749      2.51231
     -3.92545      4.62648      1.37982      3.24666
     -3.91545      4.98912      1.46775      3.52137
     -3.90545      4.88476      1.38282      3.50193
     -3.89545      5.64230      1.50805      4.13425
     -3.88545      6.91439      1.77527      5.13912
     -3.87545      8.03820      2.04104      5.99716
     -3.86545      8.24258      2.05511      6.18747
     -3.85545      7.06586      1.65671      5.40915
     -3.84545      5.84934      1.28338      4.56596
     -3.83545      5.79643      1.24837      4.54806
     -3.82545      6.35375      1.34118      5.01257
     -3.81545      6.62504      1.40310      5.22194
     -3.80545      6.50165      1.46147      5.04017
     -3.79545      6.22395      1.45872      4.76523
     -3.78545      5.47227      1.27684      4.19543
     -3.77545      4.27457      0.95924      3.31533
     -3.76545      3.61425      0.79008      2.82417
     -3.75545      3.60667      0.86443      2.74224
     -3.74545      4.10751      1.06837      3.03914
     -3.73545      4.12679      1.04290      3.08389
     -3.72545      3.77071      0.90605      2.86466
     -3.71545      3.38785      0.79453      2.59332
     -3.70545      2.74502      0.63201      2.11301
     -3.69545      2.68129      0.64549      2.03580
     -3.68545      3.29836      0.81617      2.48219
     -3.67545      2.92919      0.70696      2.22223
     -3.66545      2.00638      0.47480      1.53157
     -3.65545      2.30152      0.56868      1.73284
     -3.64545      2.66051      0.66501      1.99550
     -3.63545      2.69464      0.70640      1.98824
     -3.62545      3.05590      0.85503      2.20087
     -3.61545      2.96403      0.81222      2.15181
     -3.60545      2.03896      0.54202      1.49694
     -3.59545      1.18013      0.36092      0.81920
     -3.58545      0.90367      0.32783      0.57584
     -3.57545      0.86504      0.32300      0.54204
     -3.56545      1.00580      0.36427      0.64153
     -3.55545      1.16325      0.40590      0.75735
     -3.54545      1.06589      0.35700      0.70890
     -3.53545      0.87823      0.28362      0.59462
     -3.52545      0.89837      0.30773      0.59064
     -3.51545      1.30906      0.45476      0.85431
     -3.50545      2.03716      0.67834      1.35881
     -3.49545      2.12934      0.69371      1.43562
     -3.48545      1.40186      0.45143      0.95043
     -3.47545      0.75224      0.25711      0.49513
     -3.46545      0.53903      0.20125      0.33778
     -3.45545      0.98062      0.35257      0.62805
     -3.44545      1.70012      0.58726      1.11285
     -3.43545      1.72594      0.58265      1.14330
     -3.42545      1.32341      0.47261      0.85080
     -3.41545      0.97570      0.37584      0.59986
     -3.40545      0.60673      0.23647      0.37026
